,A,B,C,D,E,F
0,2.5403023058681398,-0.7318009420347057,1.0,-2.0,1.0,1.0
1,2.5403023058681398,-0.9276328241772869,1.0,-2.0,1.0,1.0
2,0.5403023058681398,-0.6360824366374681,1.0,-2.0,1.0,1.0
3,2.5403023058681398,1.2882469193583304,1.0,-2.0,1.0,1.0
4,0.5403023058681398,-0.9762639042884491,1.0,-2.0,1.0,1.0
5,0.5403023058681398,0.7680087102416312,1.0,-2.0,1.0,1.0
6,0.5403023058681398,-0.6734656880936302,1.0,-2.0,1.0,1.0
7,0.5403023058681398,2.9074370908870066,1.0,-2.0,1.0,1.0
8,2.5403023058681398,-0.981870039335294,1.0,-2.0,1.0,1.0
9,2.5403023058681398,-0.4550369754565172,1.0,-2.0,1.0,1.0
10,0.5403023058681398,-0.1594553374670928,1.0,-2.0,1.0,1.0
11,0.5403023058681398,-0.42895700713052926,1.0,-2.0,1.0,1.0
12,2.5403023058681398,-1.5225997589791855,1.0,-2.0,1.0,1.0
13,0.5403023058681398,0.047783977589183436,1.0,-2.0,1.0,1.0
14,0.5403023058681398,-1.864494662802211,1.0,-2.0,1.0,1.0
15,2.5403023058681398,1.1606382672746054,1.0,-2.0,1.0,1.0
16,2.5403023058681398,0.21302353929657544,1.0,-2.0,1.0,1.0
17,2.5403023058681398,-0.7584626201941811,1.0,-2.0,1.0,1.0
18,0.5403023058681398,-1.5397862051923141,1.0,-2.0,1.0,1.0
19,0.5403023058681398,-0.8702430985180138,1.0,-2.0,1.0,1.0
20,0.5403023058681398,0.15864845064072966,1.0,-2.0,1.0,1.0
21,0.5403023058681398,0.28563619215552305,1.0,-2.0,1.0,1.0
22,2.5403023058681398,1.519540396740038,1.0,-2.0,1.0,1.0
23,2.5403023058681398,0.05083397731546677,1.0,-2.0,1.0,1.0
24,0.5403023058681398,0.46328564374938797,1.0,-2.0,1.0,1.0
25,0.5403023058681398,-0.6575805895769076,1.0,-2.0,1.0,1.0
26,0.5403023058681398,1.1822553350792726,1.0,-2.0,1.0,1.0
27,2.5403023058681398,-0.14190066165293952,1.0,-2.0,1.0,1.0
28,2.5403023058681398,-1.8988413640943373,1.0,-2.0,1.0,1.0
29,2.5403023058681398,0.325000204132152,1.0,-2.0,1.0,1.0
30,2.5403023058681398,0.10177857412974764,1.0,-2.0,1.0,1.0
31,0.5403023058681398,-0.4950487519013565,1.0,-2.0,1.0,1.0
32,2.5403023058681398,0.16264019328075044,1.0,-2.0,1.0,1.0
33,0.5403023058681398,0.21102778861384844,1.0,-2.0,1.0,1.0
34,0.5403023058681398,-0.9532788393194422,1.0,-2.0,1.0,1.0
35,0.5403023058681398,-1.441679469706902,1.0,-2.0,1.0,1.0
36,0.5403023058681398,0.9133068820882683,1.0,-2.0,1.0,1.0
37,2.5403023058681398,-0.09764749047709309,1.0,-2.0,1.0,1.0
38,2.5403023058681398,-0.5725853239772242,1.0,-2.0,1.0,1.0
39,2.5403023058681398,0.3185975916125535,1.0,-2.0,1.0,1.0
40,0.5403023058681398,-0.8967123511733639,1.0,-2.0,1.0,1.0
41,0.5403023058681398,-1.52566398111387,1.0,-2.0,1.0,1.0
42,2.5403023058681398,1.2997531543198664,1.0,-2.0,1.0,1.0
43,2.5403023058681398,-2.3684103895839037,1.0,-2.0,1.0,1.0
44,2.5403023058681398,0.44286029360856555,1.0,-2.0,1.0,1.0
45,2.5403023058681398,-0.4278350376858995,1.0,-2.0,1.0,1.0
46,2.5403023058681398,-0.5097227742268936,1.0,-2.0,1.0,1.0
47,0.5403023058681398,-2.704114222345447,1.0,-2.0,1.0,1.0
48,2.5403023058681398,0.7881991466811584,1.0,-2.0,1.0,1.0
49,0.5403023058681398,-2.463967581371453,1.0,-2.0,1.0,1.0
